DateID,Date,Year,Month,MonthName,Quarter,DayOfWeek,DayName
1,2016-11-08,2016,11,November,4,1,Tuesday
2,2016-06-12,2016,6,June,2,6,Sunday
3,2015-10-11,2015,10,October,4,6,Sunday
4,2014-06-09,2014,6,June,2,0,Monday
5,2016-12-05,2016,12,December,4,0,Monday
6,2014-11-11,2014,11,November,4,1,Tuesday
7,2016-12-09,2016,12,December,4,4,Friday
8,2016-12-08,2016,12,December,4,3,Thursday
9,2017-09-10,2017,9,September,3,6,Sunday
10,2016-03-11,2016,3,March,1,4,Friday
11,2016-12-11,2016,12,December,4,6,Sunday
12,2014-12-05,2014,12,December,4,4,Friday
13,2016-06-04,2016,6,June,2,5,Saturday
14,2017-12-09,2017,12,December,4,5,Saturday
15,2014-10-12,2014,10,October,4,6,Sunday
16,2015-09-03,2015,9,September,3,3,Thursday
17,2016-04-05,2016,4,April,2,1,Tuesday
18,2017-11-06,2017,11,November,4,0,Monday
19,2017-11-09,2017,11,November,4,3,Thursday
20,2016-09-06,2016,9,September,3,1,Tuesday
21,2016-12-01,2016,12,December,4,3,Thursday
22,2016-11-03,2016,11,November,4,3,Thursday
23,2015-03-02,2015,3,March,1,0,Monday
24,2015-04-05,2015,4,April,2,6,Sunday
25,2017-11-05,2017,11,November,4,6,Sunday
26,2016-11-06,2016,11,November,4,6,Sunday
27,2017-02-02,2017,2,February,1,3,Thursday
28,2016-09-05,2016,9,September,3,0,Monday
29,2015-09-07,2015,9,September,3,0,Monday
30,2014-03-01,2014,3,March,1,5,Saturday
31,2016-05-11,2016,5,May,2,2,Wednesday
32,2016-11-07,2016,11,November,4,0,Monday
33,2014-09-08,2014,9,September,3,0,Monday
34,2014-08-05,2014,8,August,3,1,Tuesday
35,2015-10-12,2015,10,October,4,0,Monday
36,2017-07-06,2017,7,July,3,3,Thursday
37,2014-08-03,2014,8,August,3,6,Sunday
38,2017-06-03,2017,6,June,2,5,Saturday
39,2017-12-01,2017,12,December,4,4,Friday
40,2015-02-09,2015,2,February,1,0,Monday
41,2015-01-02,2015,1,January,1,4,Friday
42,2015-08-09,2015,8,August,3,6,Sunday
43,2017-04-07,2017,4,April,2,4,Friday
44,2017-11-12,2017,11,November,4,6,Sunday
45,2014-06-01,2014,6,June,2,6,Sunday
46,2016-12-10,2016,12,December,4,5,Saturday
47,2016-09-11,2016,9,September,3,6,Sunday
48,2017-06-08,2017,6,June,2,3,Thursday
49,2016-06-06,2016,6,June,2,0,Monday
50,2015-11-10,2015,11,November,4,1,Tuesday
51,2015-11-02,2015,11,November,4,0,Monday
52,2015-05-04,2015,5,May,2,0,Monday
53,2016-09-12,2016,9,September,3,0,Monday
54,2014-08-09,2014,8,August,3,5,Saturday
55,2014-11-04,2014,11,November,4,1,Tuesday
56,2017-11-03,2017,11,November,4,4,Friday
57,2015-09-01,2015,9,September,3,1,Tuesday
58,2014-07-12,2014,7,July,3,5,Saturday
59,2017-07-08,2017,7,July,3,5,Saturday
60,2016-09-01,2016,9,September,3,3,Thursday
61,2016-04-08,2016,4,April,2,4,Friday
62,2017-03-08,2017,3,March,1,2,Wednesday
63,2015-12-03,2015,12,December,4,3,Thursday
64,2017-12-11,2017,12,December,4,0,Monday
65,2014-06-07,2014,6,June,2,5,Saturday
66,2016-09-08,2016,9,September,3,3,Thursday
67,2017-12-08,2017,12,December,4,4,Friday
68,2017-03-04,2017,3,March,1,5,Saturday
69,2014-09-12,2014,9,September,3,4,Friday
70,2017-10-01,2017,10,October,4,6,Sunday
71,2016-04-01,2016,4,April,2,4,Friday
72,2014-02-12,2014,2,February,1,2,Wednesday
73,2014-11-09,2014,11,November,4,6,Sunday
74,2016-07-12,2016,7,July,3,1,Tuesday
75,2014-10-06,2014,10,October,4,0,Monday
76,2017-06-10,2017,6,June,2,5,Saturday
77,2016-05-09,2016,5,May,2,0,Monday
78,2015-11-07,2015,11,November,4,5,Saturday
79,2017-09-07,2017,9,September,3,3,Thursday
80,2016-07-10,2016,7,July,3,6,Sunday
81,2017-09-03,2017,9,September,3,6,Sunday
82,2015-12-07,2015,12,December,4,0,Monday
83,2014-02-01,2014,2,February,1,5,Saturday
84,2014-05-11,2014,5,May,2,6,Sunday
85,2017-09-11,2017,9,September,3,0,Monday
86,2014-03-03,2014,3,March,1,0,Monday
87,2016-06-10,2016,6,June,2,4,Friday
88,2017-12-07,2017,12,December,4,3,Thursday
89,2015-09-10,2015,9,September,3,3,Thursday
90,2015-07-03,2015,7,July,3,4,Friday
91,2014-01-09,2014,1,January,1,3,Thursday
92,2014-08-08,2014,8,August,3,4,Friday
93,2015-10-04,2015,10,October,4,6,Sunday
94,2016-11-04,2016,11,November,4,4,Friday
95,2017-06-09,2017,6,June,2,4,Friday
96,2017-12-05,2017,12,December,4,1,Tuesday
97,2017-11-04,2017,11,November,4,5,Saturday
98,2014-07-05,2014,7,July,3,5,Saturday
99,2017-09-02,2017,9,September,3,5,Saturday
100,2015-04-09,2015,4,April,2,3,Thursday
101,2014-12-02,2014,12,December,4,1,Tuesday
102,2014-04-05,2014,4,April,2,5,Saturday
103,2014-07-01,2014,7,July,3,1,Tuesday
104,2014-01-11,2014,1,January,1,5,Saturday
105,2014-06-02,2014,6,June,2,0,Monday
106,2014-10-07,2014,10,October,4,1,Tuesday
107,2016-07-07,2016,7,July,3,3,Thursday
108,2016-12-03,2016,12,December,4,5,Saturday
109,2014-01-04,2014,1,January,1,5,Saturday
110,2017-10-02,2017,10,October,4,0,Monday
111,2016-04-07,2016,4,April,2,3,Thursday
112,2015-02-08,2015,2,February,1,6,Sunday
113,2015-10-03,2015,10,October,4,5,Saturday
114,2015-12-12,2015,12,December,4,5,Saturday
115,2016-03-12,2016,3,March,1,5,Saturday
116,2014-11-01,2014,11,November,4,5,Saturday
117,2015-02-03,2015,2,February,1,1,Tuesday
118,2014-05-09,2014,5,May,2,4,Friday
119,2016-03-07,2016,3,March,1,0,Monday
120,2017-01-01,2017,1,January,1,6,Sunday
121,2014-02-07,2014,2,February,1,4,Friday
122,2017-04-10,2017,4,April,2,0,Monday
123,2016-01-05,2016,1,January,1,1,Tuesday
124,2014-01-10,2014,1,January,1,4,Friday
125,2014-04-06,2014,4,April,2,6,Sunday
126,2016-09-03,2016,9,September,3,5,Saturday
127,2014-12-10,2014,12,December,4,2,Wednesday
128,2015-10-09,2015,10,October,4,4,Friday
129,2014-12-09,2014,12,December,4,1,Tuesday
130,2016-11-10,2016,11,November,4,3,Thursday
131,2016-10-03,2016,10,October,4,0,Monday
132,2014-09-09,2014,9,September,3,1,Tuesday
133,2016-04-10,2016,4,April,2,6,Sunday
134,2017-11-11,2017,11,November,4,5,Saturday
135,2016-03-05,2016,3,March,1,5,Saturday
136,2015-04-11,2015,4,April,2,5,Saturday
137,2015-10-05,2015,10,October,4,0,Monday
138,2017-04-03,2017,4,April,2,0,Monday
139,2017-04-09,2017,4,April,2,6,Sunday
140,2017-10-05,2017,10,October,4,3,Thursday
141,2017-07-09,2017,7,July,3,6,Sunday
142,2017-01-07,2017,1,January,1,5,Saturday
143,2015-12-09,2015,12,December,4,2,Wednesday
144,2015-03-10,2015,3,March,1,1,Tuesday
145,2016-09-09,2016,9,September,3,4,Friday
146,2015-11-06,2015,11,November,4,4,Friday
147,2017-08-01,2017,8,August,3,1,Tuesday
148,2015-07-06,2015,7,July,3,0,Monday
149,2016-01-11,2016,1,January,1,0,Monday
150,2014-07-11,2014,7,July,3,4,Friday
151,2017-10-12,2017,10,October,4,3,Thursday
152,2016-03-08,2016,3,March,1,1,Tuesday
153,2015-04-04,2015,4,April,2,5,Saturday
154,2017-12-10,2017,12,December,4,6,Sunday
155,2016-10-01,2016,10,October,4,5,Saturday
156,2016-11-12,2016,11,November,4,5,Saturday
157,2016-03-01,2016,3,March,1,1,Tuesday
158,2016-08-12,2016,8,August,3,4,Friday
159,2017-06-04,2017,6,June,2,6,Sunday
160,2015-12-06,2015,12,December,4,6,Sunday
161,2015-09-04,2015,9,September,3,4,Friday
162,2016-04-12,2016,4,April,2,1,Tuesday
