OrderID,CustomerID,OrderDate,Sales,Quantity,Profit,DateID
CA-2016-152156,CG-12520,2016-11-08,261.96,2,41.9136,1
CA-2016-152156,CG-12520,2016-11-08,731.94,3,219.582,1
CA-2016-138688,DV-13045,2016-06-12,14.62,2,6.8714,2
US-2015-108966,SO-20335,2015-10-11,957.5775,5,-383.031,3
US-2015-108966,SO-20335,2015-10-11,22.368,2,2.5164,3
CA-2014-115812,BH-11710,2014-06-09,48.86,7,14.1694,4
CA-2014-115812,BH-11710,2014-06-09,7.28,4,1.9656,4
CA-2014-115812,BH-11710,2014-06-09,907.152,6,90.7152,4
CA-2014-115812,BH-11710,2014-06-09,18.504,3,5.7825,4
CA-2014-115812,BH-11710,2014-06-09,114.9,5,34.47,4
CA-2014-115812,BH-11710,2014-06-09,1706.184,9,85.3092,4
CA-2014-115812,BH-11710,2014-06-09,911.424,4,68.3568,4
CA-2016-161389,IM-15070,2016-12-05,407.976,3,132.5922,5
CA-2014-105893,PK-19075,2014-11-11,665.88,6,13.3176,6
CA-2016-137330,KB-16585,2016-12-09,19.46,7,5.0596,7
CA-2016-137330,KB-16585,2016-12-09,60.34,7,15.6884,7
CA-2016-117590,GH-14485,2016-12-08,1097.544,7,123.4737,8
CA-2016-117590,GH-14485,2016-12-08,190.92,5,-147.963,8
CA-2017-120999,LC-16930,2017-09-10,147.168,4,16.5564,9
CA-2016-118255,ON-18715,2016-03-11,45.98,2,19.7714,10
CA-2016-118255,ON-18715,2016-03-11,17.46,2,8.2062,10
CA-2016-105816,JM-15265,2016-12-11,15.26,7,6.2566,11
CA-2016-105816,JM-15265,2016-12-11,1029.95,5,298.6855,11
CA-2014-106376,BS-11590,2014-12-05,1113.024,8,111.3024,12
CA-2014-106376,BS-11590,2014-12-05,167.968,4,62.988,12
CA-2016-119823,KD-16270,2016-06-04,75.88,2,35.6636,13
US-2017-118038,KB-16600,2017-12-09,1.248,3,-1.9344,14
US-2017-118038,KB-16600,2017-12-09,9.708,3,-5.8248,14
US-2017-118038,KB-16600,2017-12-09,27.24,3,2.724,14
CA-2016-127208,SC-20770,2016-06-12,208.16,1,56.2032,2
CA-2016-127208,SC-20770,2016-06-12,16.74,3,8.0352,2
CA-2014-139451,DN-13690,2014-10-12,14.9,5,4.172,15
CA-2014-139451,DN-13690,2014-10-12,21.39,1,6.2031,15
CA-2015-149734,JC-16105,2015-09-03,200.984,7,62.8075,16
CA-2016-159695,GM-14455,2016-04-05,158.368,7,13.8572,17
US-2017-109484,RB-19705,2017-11-06,5.682,1,-3.788,18
CA-2017-161018,PN-18775,2017-11-09,96.53,7,40.5426,19
CA-2016-149223,ER-13855,2016-09-06,77.88,6,22.5852,20
CA-2016-129903,GZ-14470,2016-12-01,23.92,4,11.7208,21
CA-2016-128867,CL-12565,2016-11-03,75.96,2,22.788,22
CA-2016-128867,CL-12565,2016-11-03,27.24,6,13.3476,22
CA-2015-110457,DK-13090,2015-03-02,787.53,3,165.3813,23
US-2015-136476,GG-14650,2015-04-05,157.794,1,-115.7156,24
CA-2016-103730,SC-20725,2016-06-12,47.04,3,18.3456,2
CA-2016-103730,SC-20725,2016-06-12,30.84,4,13.878,2
CA-2016-103730,SC-20725,2016-06-12,226.56,6,63.4368,2
CA-2016-103730,SC-20725,2016-06-12,115.02,9,51.759,2
CA-2016-103730,SC-20725,2016-06-12,68.04,7,19.7316,2
US-2017-107272,TS-21610,2017-11-05,2.388,2,-1.8308,25
US-2017-107272,TS-21610,2017-11-05,243.992,7,30.499,25
US-2016-125969,LS-16975,2016-11-06,81.424,2,-9.1602,26
US-2016-125969,LS-16975,2016-11-06,238.56,3,26.2416,26
US-2017-164147,DW-13585,2017-02-02,59.97,5,-11.994,27
US-2017-164147,DW-13585,2017-02-02,78.304,2,29.364,27
US-2017-164147,DW-13585,2017-02-02,21.456,9,6.9732,27
CA-2016-110366,JD-15895,2016-09-05,82.8,2,10.35,28
CA-2015-110744,HA-14920,2015-09-07,671.93,7,20.1579,29
CA-2016-114489,JE-16165,2016-12-05,384.45,11,103.8015,5
CA-2016-114489,JE-16165,2016-12-05,149.97,3,5.9988,5
CA-2016-114489,JE-16165,2016-12-05,1951.84,8,585.552,5
CA-2016-114489,JE-16165,2016-12-05,171.55,5,80.6285,5
CA-2014-104269,DB-13060,2014-03-01,457.568,2,51.4764,30
CA-2016-162733,TT-21070,2016-05-11,5.98,1,2.691,31
CA-2016-113817,MJ-17740,2016-11-07,27.68,2,9.688,32
CA-2014-139892,BM-11140,2014-09-08,9.936,3,2.7324,33
CA-2014-139892,BM-11140,2014-09-08,8159.952,8,-1359.992,33
CA-2014-139892,BM-11140,2014-09-08,275.928,3,-58.6347,33
CA-2014-139892,BM-11140,2014-09-08,1740.06,9,-24.858,33
CA-2014-139892,BM-11140,2014-09-08,32.064,6,6.8136,33
CA-2014-139892,BM-11140,2014-09-08,177.98,5,-453.849,33
CA-2014-139892,BM-11140,2014-09-08,143.976,3,8.9985,33
CA-2014-118962,CS-12130,2014-08-05,20.94,3,9.8418,34
CA-2014-118962,CS-12130,2014-08-05,110.96,2,53.2608,34
CA-2014-118962,CS-12130,2014-08-05,340.144,7,21.259,34
CA-2014-166191,DK-13150,2014-12-05,24.816,2,1.8612,12
CA-2014-166191,DK-13150,2014-12-05,408.744,7,76.6395,12
CA-2015-102281,MP-17470,2015-10-12,899.136,4,112.392,35
CA-2015-102281,MP-17470,2015-10-12,71.76,6,20.0928,35
CA-2015-102281,MP-17470,2015-10-12,51.84,8,24.8832,35
CA-2015-102281,MP-17470,2015-10-12,626.352,3,46.9764,35
CA-2015-102281,MP-17470,2015-10-12,19.9,5,6.567,35
CA-2017-107720,VM-21685,2017-11-06,46.26,3,12.0276,18
US-2017-124303,FH-14365,2017-07-06,2.946,2,-2.2586,36
US-2017-124303,FH-14365,2017-07-06,16.056,3,5.8203,36
CA-2014-133690,BS-11755,2014-08-03,218.75,2,-161.875,37
CA-2014-133690,BS-11755,2014-08-03,2.6,1,0.2925,37
CA-2017-126382,HK-14890,2017-06-03,35.168,7,9.6712,38
CA-2017-108329,LE-16810,2017-12-09,444.768,4,44.4768,14
CA-2017-135860,JH-15985,2017-12-01,83.92,4,5.8744,39
CA-2017-135860,JH-15985,2017-12-01,131.98,2,35.6346,39
CA-2017-135860,JH-15985,2017-12-01,15.92,4,7.4824,39
CA-2017-135860,JH-15985,2017-12-01,52.29,9,16.2099,39
CA-2017-135860,JH-15985,2017-12-01,91.99,1,3.6796,39
CA-2015-101007,MS-17980,2015-02-09,20.8,2,6.5,40
CA-2015-146262,VW-21775,2015-01-02,23.68,2,8.88,41
CA-2015-146262,VW-21775,2015-01-02,452.45,5,-244.323,41
CA-2015-146262,VW-21775,2015-01-02,62.982,3,-14.6958,41
CA-2015-146262,VW-21775,2015-01-02,1188.0,9,-950.4,41
CA-2015-146262,VW-21775,2015-01-02,89.584,2,4.4792,41
CA-2015-163055,DS-13180,2015-08-09,2.2,1,0.968,42
CA-2015-163055,DS-13180,2015-08-09,622.45,5,136.939,42
CA-2015-163055,DS-13180,2015-08-09,21.98,1,0.2198,42
US-2017-100930,CS-12400,2017-04-07,233.86,2,-102.048,43
US-2017-100930,CS-12400,2017-04-07,620.6145,3,-248.2458,43
US-2017-100930,CS-12400,2017-04-07,5.328,2,-3.552,43
US-2017-100930,CS-12400,2017-04-07,258.072,3,0.0,43
US-2017-100930,CS-12400,2017-04-07,617.976,3,-7.7247,43
CA-2017-160514,DB-13120,2017-11-12,10.56,2,4.752,44
CA-2016-157749,KL-16645,2016-06-04,25.92,5,9.396,13
CA-2016-157749,KL-16645,2016-06-04,419.68,5,-356.728,13
CA-2016-157749,KL-16645,2016-06-04,11.688,3,-4.6752,13
CA-2016-157749,KL-16645,2016-06-04,31.984,2,11.1944,13
CA-2016-157749,KL-16645,2016-06-04,177.225,5,-120.513,13
CA-2016-157749,KL-16645,2016-06-04,4.044,3,-2.8308,13
CA-2016-157749,KL-16645,2016-06-04,7.408,2,1.2038,13
CA-2014-131926,DW-13480,2014-06-01,2001.86,7,580.5394,45
CA-2014-131926,DW-13480,2014-06-01,166.72,2,41.68,45
CA-2014-131926,DW-13480,2014-06-01,47.88,6,23.94,45
CA-2014-131926,DW-13480,2014-06-01,1503.25,5,496.0725,45
CA-2014-131926,DW-13480,2014-06-01,25.92,4,12.4416,45
CA-2016-154739,LH-17155,2016-12-10,321.568,2,28.1372,46
CA-2016-145625,KC-16540,2016-09-11,7.61,1,3.5767,47
CA-2016-145625,KC-16540,2016-09-11,3347.37,13,636.0003,47
CA-2016-146941,DL-13315,2016-12-10,80.58,6,22.5624,46
CA-2016-146941,DL-13315,2016-12-10,361.92,4,162.864,46
CA-2017-163139,CC-12670,2017-12-01,20.37,3,6.9258,39
CA-2017-163139,CC-12670,2017-12-01,221.55,3,6.6465,39
CA-2017-163139,CC-12670,2017-12-01,17.52,5,6.132,39
US-2017-155299,Dl-13600,2017-06-08,1.624,2,-4.466,48
CA-2016-125318,RC-19825,2016-06-06,328.224,4,28.7196,49
CA-2015-155040,AH-10210,2015-11-10,79.9,2,35.156,50
US-2017-145366,CA-12310,2017-12-09,37.208,1,-7.4416,14
US-2017-145366,CA-12310,2017-12-09,57.576,3,21.591,14
