Customer_ID,first_purchase,last_purchase,transaction_lines,total_orders,total_sales,total_quantity,total_profit,recency_days,customer_lifetime_days,avg_order_value,avg_items_per_order,profit_margin,Segment,Region,value_tier,frequency_tier,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Customer_Segment
AA-10315,2015-10-04,2016-03-03,5,2,4433.03,16,-740.09,648,151,2216.515,8.0,-16.69,Consumer,West,Platinum,Occasional,1.0,2,5,1.025,8.0,Other
AA-10375,2015-02-03,2017-12-11,9,5,407.12,22,133.04,0,1042,81.424,4.4,32.68,Consumer,West,Silver,Frequent,5.0,5,2,5.052,12.0,Other
AA-10480,2014-05-04,2014-05-04,1,1,27.46,2,9.89,1317,0,27.46,2.0,36.02,Consumer,East,Bronze,Occasional,1.0,1,1,1.011,3.0,Hibernating
AA-10645,2014-12-01,2017-11-05,12,4,2008.7,41,438.52,36,1070,502.175,10.25,21.83,Consumer,West,Platinum,Frequent,4.0,4,5,4.045,13.0,Champions
AB-10015,2014-03-07,2016-11-10,5,2,873.53,11,131.87,396,979,436.765,5.5,15.1,Consumer,West,Gold,Occasional,2.0,2,3,2.023,7.0,Other
AB-10060,2016-09-01,2017-11-06,12,4,7354.21,39,1924.01,35,431,1838.5525,9.75,26.16,Home Office,East,Platinum,Frequent,5.0,4,5,5.045,14.0,Champions
AB-10105,2015-11-07,2017-08-03,9,4,1299.15,33,-76.38,130,635,324.7875,8.25,-5.88,Consumer,Central,Gold,Frequent,3.0,4,4,3.044,11.0,Potential Loyalists
AB-10150,2014-03-05,2017-09-04,7,3,812.46,23,307.75,98,1279,270.82,7.666666666666667,37.88,Consumer,East,Gold,Regular,4.0,3,3,4.033,10.0,Loyal Customers
AB-10165,2015-05-10,2017-12-05,3,2,86.48,13,10.89,6,940,43.24,6.5,12.59,Consumer,West,Bronze,Occasional,5.0,2,1,5.021,8.0,New Customers
AB-10255,2015-05-08,2017-06-02,5,3,121.58,9,36.1,192,756,40.526666666666664,3.0,29.69,Home Office,East,Bronze,Regular,3.0,3,1,3.031,7.0,Other
AB-10600,2017-11-10,2017-11-10,5,1,1475.05,28,-256.57,31,0,1475.05,28.0,-17.39,Corporate,West,Gold,Occasional,5.0,1,4,5.014,10.0,New Customers
AC-10420,2014-07-12,2017-05-12,4,2,868.22,14,-83.73,213,1035,434.11,7.0,-9.64,Corporate,West,Gold,Occasional,3.0,2,3,3.023,8.0,Promising
AC-10450,2015-11-08,2017-10-03,3,2,1864.19,16,868.89,69,695,932.095,8.0,46.61,Consumer,Central,Platinum,Occasional,4.0,2,5,4.025,11.0,New Customers
AC-10615,2017-09-02,2017-09-02,12,1,2255.87,40,297.82,100,0,2255.87,40.0,13.2,Corporate,East,Platinum,Occasional,4.0,1,5,4.015,10.0,New Customers
AD-10180,2015-07-04,2017-12-01,3,2,932.07,9,265.02,10,881,466.035,4.5,28.43,Home Office,East,Gold,Occasional,5.0,2,3,5.023,10.0,New Customers
AF-10870,2015-12-06,2016-05-06,3,2,37.16,6,-6.54,584,152,18.58,3.0,-17.6,Consumer,Central,Bronze,Occasional,2.0,2,1,2.021,5.0,Hibernating
AF-10885,2014-05-10,2016-11-10,5,3,489.9,27,-264.3,396,915,163.29999999999998,9.0,-53.95,Consumer,East,Silver,Regular,2.0,3,3,2.033,8.0,At Risk
AG-10300,2016-12-05,2017-09-03,2,2,87.9,3,22.15,99,272,43.95,1.5,25.2,Corporate,West,Bronze,Occasional,4.0,2,1,4.021,7.0,New Customers
AG-10330,2016-08-03,2017-12-10,4,2,357.62,21,102.71,1,494,178.81,10.5,28.72,Consumer,West,Silver,Occasional,5.0,2,2,5.022,9.0,New Customers
AG-10390,2014-09-03,2017-09-07,3,3,38.86,11,15.77,95,1100,12.953333333333333,3.6666666666666665,40.58,Consumer,South,Bronze,Regular,4.0,3,1,4.031,8.0,Other
AG-10495,2015-01-04,2015-11-11,10,3,1672.01,58,329.63,761,311,557.3366666666667,19.333333333333332,19.71,Corporate,South,Platinum,Regular,1.0,3,4,1.034,8.0,At Risk
AG-10525,2014-08-09,2015-09-07,9,4,1455.04,33,-152.76,826,394,363.76,8.25,-10.5,Corporate,South,Gold,Frequent,1.0,4,4,1.044,9.0,At Risk Champions
AG-10675,2015-05-07,2017-09-07,8,4,2943.48,24,-346.64,95,854,735.87,6.0,-11.78,Consumer,Central,Platinum,Frequent,4.0,4,5,4.045,13.0,Champions
AG-10765,2015-06-09,2015-11-09,2,2,123.84,6,61.71,763,153,61.92,3.0,49.83,Home Office,South,Bronze,Occasional,1.0,2,1,1.021,4.0,Hibernating
AG-10900,2015-09-05,2017-09-03,8,4,2246.51,33,73.53,99,729,561.6275,8.25,3.27,Consumer,West,Platinum,Frequent,4.0,4,5,4.045,13.0,Champions
AH-10120,2017-04-08,2017-07-02,4,2,609.5,18,264.14,162,85,304.75,9.0,43.34,Home Office,West,Silver,Occasional,3.0,2,3,3.023,8.0,Promising
AH-10195,2015-03-05,2017-11-05,3,2,148.97,9,-38.2,36,976,74.485,4.5,-25.64,Corporate,Central,Bronze,Occasional,4.0,2,1,4.021,7.0,New Customers
